 ,open,high,low,adjclose,volume,ticker
2008-05-11,80,82,80,80,31561,Dedam
2008-05-25,85,88,85,86,39452,Dedam
2008-05-26,86,86,83,84,13977,Dedam
2008-05-27,83,85,83,84,7549,Dedam
2008-05-28,85,87,85,85,5355,Dedam
2008-05-31,88,88,86,86,3136,Dedam
2008-06-01,88,88,86,86,110,Dedam
2008-06-02,88,88,86,86,5010,Dedam
2008-06-09,89,89,87,87,1510,Dedam
2008-06-10,89,89,87,87,1486,Dedam
2008-06-11,90,90,88,88,2817,Dedam
2008-06-18,90,90,88,88,110,Dedam
2008-06-21,90,90,90,90,13243,Dedam
2008-06-22,93,93,91,91,4010,Dedam
2008-06-23,93,93,91,91,510,Dedam
2008-06-24,93,93,92,92,3862,Dedam
2008-06-25,94,94,92,92,110,Dedam
2008-06-28,94,94,92,92,2020,Dedam
2008-06-29,95,95,93,93,4120,Dedam
2008-06-30,96,96,93,93,1010,Dedam
2008-07-01,96,96,93,93,1010,Dedam
2008-07-05,96,96,93,93,120,Dedam
2008-07-08,96,96,93,93,311,Dedam
2008-07-12,96,96,93,93,984,Dedam
2008-07-15,91,93,91,93,1488,Dedam
2008-07-19,93,93,90,92,5968,Dedam
2008-07-22,90,92,90,92,2574,Dedam
2008-09-21,89,92,89,92,218,Dedam
2008-10-07,89,92,89,92,1460,Dedam
2008-10-20,89,92,89,92,15,Dedam
2008-10-27,89,92,89,92,1464,Dedam
2008-11-24,89,92,89,92,160,Dedam
2008-12-07,89,89,89,89,10,Dedam
2008-12-10,89,89,89,89,3200,Dedam
2009-01-10,89,89,89,89,5000,Dedam
2009-02-01,88,88,88,88,685,Dedam
2009-02-09,88,88,88,88,50,Dedam
2009-02-23,88,88,88,88,1480,Dedam
2009-03-07,88,88,88,88,50,Dedam
2009-03-28,85,85,85,85,1024,Dedam
2009-04-05,85,85,85,85,1900,Dedam
2009-04-06,85,85,85,85,2000,Dedam
2009-04-08,85,85,85,85,2000,Dedam
2009-04-11,85,85,85,85,1000,Dedam
2009-04-13,85,85,85,85,1000,Dedam
2009-04-20,85,85,85,85,3000,Dedam
2009-04-21,84,85,84,85,7150,Dedam
2009-04-22,84,85,84,85,12426,Dedam
2009-04-25,88,88,83,83,4396,Dedam
2009-04-26,83,83,83,83,400,Dedam
2009-04-27,86,86,86,86,8,Dedam
2009-05-04,83,83,82,82,1500,Dedam
2009-05-09,82,82,82,82,1885,Dedam
2009-05-10,82,82,82,82,40099,Dedam
2009-05-11,85,85,85,85,101,Dedam
2009-05-12,82,82,82,82,2685,Dedam
2009-06-20,76,76,76,76,3000,Dedam
2009-06-24,78,78,78,78,1385,Dedam
2009-06-27,78,78,78,78,815,Dedam
2009-06-28,78,78,78,78,5000,Dedam
2009-06-29,77,77,77,77,7,Dedam
2009-06-30,79,79,79,79,436,Dedam
2009-07-15,79,79,76,76,8494,Dedam
2009-07-19,76,76,76,76,6821,Dedam
2009-07-29,74,74,74,74,2000,Dedam
2009-08-01,74,74,74,74,5218,Dedam
2009-08-02,74,74,74,74,817,Dedam
2009-08-08,74,74,74,74,120,Dedam
2009-08-31,76,76,76,76,1540,Dedam
2009-09-02,76,78,76,78,3998,Dedam
2009-09-08,78,78,78,78,1000,Dedam
2009-09-15,78,78,78,78,20200,Dedam
2009-09-22,80,80,80,80,200,Dedam
2009-09-26,80,80,80,80,482,Dedam
2009-09-27,80,80,80,80,4569,Dedam
2009-09-28,81,81,81,81,5990,Dedam
2009-10-04,81,81,81,81,5012,Dedam
2009-10-05,82,82,82,82,2000,Dedam
2009-10-28,82,82,82,82,5000,Dedam
2009-11-01,82,82,82,82,200,Dedam
2009-11-03,82,82,82,82,1000,Dedam
2009-11-07,83,83,83,83,2000,Dedam
2009-11-14,83,83,83,83,4000,Dedam
2009-11-16,83,83,83,83,1650,Dedam
2009-11-22,84,84,84,84,6350,Dedam
2009-11-23,84,84,84,84,6000,Dedam
2009-11-24,85,85,85,85,4001,Dedam
2009-11-25,85,85,85,85,999,Dedam
