 ,open,high,low,adjclose,volume,ticker
2008-04-02,76,76,75,20,1010,IRO1DAML0001
2008-04-06,77,77,75,20,2510,IRO1DAML0001
2008-04-07,77,77,75,20,2010,IRO1DAML0001
2008-04-08,77,77,75,20,489,IRO1DAML0001
2008-04-12,74,75,74,20,944,IRO1DAML0001
2008-04-16,75,75,75,20,500,IRO1DAML0001
2008-04-23,77,77,75,20,520,IRO1DAML0001
2008-04-26,75,75,75,20,331,IRO1DAML0001
2008-04-27,76,76,75,20,958,IRO1DAML0001
2008-04-28,76,77,75,21,8738,IRO1DAML0001
2008-04-30,78,78,77,21,8310,IRO1DAML0001
2008-05-04,79,79,77,20,474,IRO1DAML0001
2008-05-06,79,79,77,20,637,IRO1DAML0001
2008-05-07,79,79,79,22,30000,IRO1DAML0001
2008-05-10,81,81,79,20,4457,IRO1DAML0001
2008-05-11,80,82,80,21,31561,IRO1DAML0001
2008-05-25,85,88,85,27,39452,IRO1DAML0001
2008-05-26,86,86,83,17,13977,IRO1DAML0001
2008-05-27,83,85,83,20,7549,IRO1DAML0001
2008-05-28,85,87,85,21,5355,IRO1DAML0001
2008-05-31,88,88,86,21,3136,IRO1DAML0001
2008-06-01,88,88,86,20,110,IRO1DAML0001
2008-06-02,88,88,86,20,5010,IRO1DAML0001
2008-06-09,89,89,87,21,1510,IRO1DAML0001
2008-06-10,89,89,87,20,1486,IRO1DAML0001
2008-06-11,90,90,88,21,2817,IRO1DAML0001
2008-06-18,90,90,88,20,110,IRO1DAML0001
2008-06-21,90,90,90,22,13243,IRO1DAML0001
2008-06-22,93,93,91,21,4010,IRO1DAML0001
2008-06-23,93,93,91,20,510,IRO1DAML0001
2008-06-24,93,93,92,21,3862,IRO1DAML0001
2008-06-25,94,94,92,20,110,IRO1DAML0001
2008-06-28,94,94,92,20,2020,IRO1DAML0001
2008-06-29,95,95,93,21,4120,IRO1DAML0001
2008-06-30,96,96,93,20,1010,IRO1DAML0001
2008-07-01,96,96,93,20,1010,IRO1DAML0001
2008-07-05,96,96,93,20,120,IRO1DAML0001
