Date	Open	High	Low	Close	Volume
2008.05.27	624	624	624	624	55339
2008.05.31	623	624	623	624	20768
2008.06.01	624	624	624	624	20000
2008.06.02	624	630	624	626	20010
2008.06.08	633	633	629	629	15010
2008.06.15	640	640	635	635	23010
2008.06.18	647	647	639	639	15010
2008.06.24	647	647	639	639	590
2008.06.25	647	647	640	640	4342
2008.07.01	647	647	640	640	98
2008.07.08	639	640	639	640	1685
2008.07.20	639	640	639	640	216010
2008.08.13	621	639	621	639	3456
2008.08.18	620	636	620	636	6910
2008.08.23	617	636	617	636	310
2008.08.25	616	633	616	633	6860
2008.08.26	614	614	614	614	70000
2008.09.03	596	596	596	596	50000
2008.09.27	594	595	594	595	27010
2008.10.14	577	595	577	594	104788
2008.10.15	594	594	594	594	2422
2008.11.05	594	594	594	594	918350
2008.11.16	594	594	594	594	30000
2008.11.23	594	594	594	594	6000
2008.11.25	594	594	594	594	24000
2008.12.08	594	594	594	594	758
2009.01.05	594	594	594	594	2422
2009.01.13	593	593	593	593	21000
2009.01.19	593	593	593	593	29000
2009.03.01	593	593	593	593	37000
2009.03.04	593	593	593	593	15300
2009.04.19	593	593	575	593	158682
2009.05.05	593	593	593	593	246000
2009.05.10	593	593	593	593	500
2009.05.17	611	611	611	611	200
2009.07.28	516	516	516	516	54150
2009.07.29	516	516	516	516	50000
2009.08.01	516	516	516	516	92000
2009.08.04	516	516	516	516	50000
2009.08.08	516	516	516	516	50000
2009.08.09	516	516	516	516	50000
2009.08.11	516	516	516	516	50000
2009.08.12	516	516	516	516	50000
2009.08.15	516	516	516	516	50000
2009.08.17	516	516	516	516	13850
2009.08.25	516	516	516	516	500
2009.08.29	516	516	516	516	500
2009.08.30	516	516	516	516	10000
2009.09.01	527	527	527	527	5000
2009.09.02	527	527	527	527	9500
2009.09.06	527	527	527	527	30020
2009.09.07	527	527	527	527	10000
2009.09.21	527	527	527	527	500
2009.09.26	527	527	527	527	500
2009.09.28	527	527	527	527	4060
2009.10.31	441	441	441	441	500
2009.11.01	452	452	452	452	2000
2009.11.04	453	454	453	454	2060
2009.11.23	458	458	458	458	67500
2009.12.09	473	473	473	473	50000
2010.01.19	473	490	473	490	46000
2010.01.23	495	495	495	495	15440
2010.01.24	495	495	495	495	29560
2010.01.25	506	506	506	506	100000
2010.01.26	495	506	495	506	42940
2010.02.07	506	506	506	506	40000
2010.02.08	506	506	506	506	90000
2010.02.22	506	506	506	506	50000
2010.02.23	506	506	506	506	17500
2010.03.07	506	506	506	506	2148
2010.03.10	506	506	506	506	2173
2010.03.13	506	506	506	506	2250
2010.04.07	506	506	506	506	28429
2010.04.14	506	506	506	506	50000
2010.04.21	523	523	506	506	53500
2010.04.25	523	523	508	508	71000
2010.04.26	511	513	511	513	485000
2010.05.01	530	530	530	530	1000
2010.05.09	506	506	506	506	8699
2010.05.22	516	516	516	516	60000
2010.05.23	516	516	516	516	2000
2010.05.24	509	509	509	509	6699
2010.05.30	509	509	509	509	50000
2010.05.31	509	509	509	509	50000
2010.06.01	509	509	509	509	50000
2010.06.02	509	509	509	509	50000
2010.06.21	473	473	473	473	500
2010.07.12	473	473	473	473	50000
2010.07.13	482	482	473	473	26300
2010.07.20	516	516	516	516	300
2010.08.01	538	538	538	538	10000
2010.08.03	541	541	541	541	10000
2010.08.09	538	538	538	538	7990
2010.08.16	538	538	538	538	30000
2010.08.17	532	532	532	532	30000
2010.08.22	545	545	545	545	4140
2010.08.23	534	534	534	534	16140
2010.08.29	534	534	534	534	34860
2010.08.30	541	541	541	541	92000
2010.10.05	541	541	541	541	74300
2010.10.10	534	534	534	534	4700
2010.10.18	534	534	534	534	5300
2010.10.20	541	541	541	541	30000
2010.10.24	562	562	540	540	100000
2010.10.30	565	565	540	565	4378
2010.11.01	538	538	538	538	86000
2010.11.20	473	473	473	473	50000
2010.12.14	473	473	473	473	200000
2010.12.22	473	473	473	473	500
2011.01.02	463	472	463	463	20500
2011.01.19	473	473	473	473	1130
2011.02.26	472	472	472	472	1130
2011.03.28	454	454	454	454	486
2011.04.13	453	453	453	453	2300
2011.04.20	472	472	472	472	10310
2011.05.03	472	472	472	472	125866
2011.05.30	490	490	490	490	200
2011.06.14	491	491	490	490	50001
2011.06.18	490	490	490	490	5000
2011.06.28	456	456	456	456	5000
2011.07.11	441	441	441	441	201
2011.07.12	441	441	438	438	11482
2011.07.13	435	435	435	435	23000
2011.07.16	429	429	429	429	13000
2011.07.18	441	441	441	441	135540
2011.07.19	441	452	441	452	43799
2011.07.20	463	463	463	463	19519
2011.07.23	453	453	453	453	44460
2011.07.25	463	463	463	463	25000
2011.07.26	472	472	472	472	65873
2011.07.27	472	472	472	472	200000
2011.07.31	453	453	453	453	60000
2011.08.01	453	472	453	472	120500
2011.08.02	453	453	453	453	50000
2011.08.03	453	453	452	452	69000
2011.08.06	452	452	452	452	50000
2011.08.07	452	452	452	452	50000
2011.08.08	452	452	452	452	12228
2011.08.09	470	470	470	470	50000
2011.08.13	447	447	447	447	33000
2011.08.14	456	456	456	456	5500
2011.08.15	467	467	467	467	22900
2011.08.17	459	459	459	459	50000
2011.08.20	459	459	452	452	132272
2011.08.21	452	452	452	452	50000
2011.08.23	452	452	452	452	50000
2011.08.24	452	467	448	467	59341
2011.08.28	452	467	452	467	52370
2011.08.29	452	452	452	452	48000
2011.08.30	452	452	452	452	50000
2011.09.03	452	452	452	452	50000
2011.09.04	452	452	448	452	101300
2011.09.05	452	452	452	452	750000
2011.09.07	467	467	467	467	14000
2011.09.10	452	452	452	452	50000
2011.09.11	452	452	452	452	50000
2011.09.17	467	467	467	467	720037
2011.09.19	465	465	465	465	50000
2011.09.20	448	448	448	448	1300
2011.09.21	456	456	456	456	50000
2011.09.28	456	456	456	456	50000
2011.10.02	456	456	448	448	69116
2011.10.12	452	453	452	453	151500
2011.10.16	448	448	448	448	3300
2011.10.19	467	467	467	467	867660
2011.10.24	456	456	456	456	50000
2011.10.25	456	456	456	456	50000
2011.11.27	457	457	457	457	60000
2011.11.29	457	457	457	457	63500
2011.11.30	457	457	457	457	50000
2011.12.11	456	456	456	456	40000
2011.12.18	456	456	456	456	50000
2011.12.19	456	456	456	456	46000
2011.12.20	452	452	448	448	49870
2012.01.01	450	450	450	450	2250
2012.03.11	271	271	271	271	900
2012.03.24	252	252	252	252	202
2012.04.10	252	252	252	252	900
2012.04.28	271	271	271	271	5000
2012.06.10	273	273	273	273	4292
2012.06.13	274	274	274	274	4292
2012.07.10	254	268	254	268	290
2012.07.11	268	268	268	268	717462
2012.07.14	268	268	268	268	451
2012.07.21	268	268	268	268	1000
2012.07.25	268	268	268	268	48980
2012.07.28	268	268	268	268	10
2012.07.31	268	268	268	268	3562576
2012.08.01	271	276	271	271	33269
2012.08.08	261	262	261	262	50000
2012.08.11	262	262	261	261	1016731
2012.08.14	268	268	268	268	300
2012.08.25	262	262	262	262	5964089
2012.09.10	262	262	262	262	1
2012.09.18	262	262	262	262	78825
2012.09.30	259	259	259	259	110708
2012.10.07	259	259	259	259	120290
2012.10.09	249	259	249	259	120000
2012.10.14	259	259	259	259	100000
2012.10.15	259	259	259	259	50000
2012.10.20	266	266	266	266	3224
2012.10.21	259	259	248	248	37127
2012.10.22	246	246	246	246	40000
2012.10.24	255	255	255	255	33330
2012.10.27	244	259	244	245	25087
2012.10.29	243	243	243	243	500
2012.10.30	243	243	243	243	694
2012.11.05	243	243	243	243	500
2012.11.07	243	243	243	243	10246
2012.11.10	243	252	243	252	98547
2012.11.11	245	247	245	245	4300
2012.11.12	241	241	241	241	5700
2012.11.13	241	241	241	241	20000
2012.11.14	254	254	254	254	13
2012.11.19	240	241	240	240	7487
2012.11.20	239	239	239	239	8000
2012.11.21	247	247	242	242	8000
2012.11.27	259	259	259	259	11217
2012.12.01	259	259	259	259	96776
2012.12.02	262	262	262	262	5000
2012.12.03	264	264	264	264	100003
2012.12.04	269	269	259	269	600987
2012.12.05	279	279	279	279	40502
2012.12.08	283	283	281	281	22115
2012.12.09	262	262	262	262	6723
2012.12.11	261	262	261	261	2020
2012.12.15	261	261	261	261	32011
2012.12.16	274	274	274	274	100
2012.12.17	259	278	259	278	434117
2012.12.18	284	284	284	284	7000
2012.12.23	284	286	284	286	6110
2012.12.24	276	276	276	276	296
2012.12.25	265	265	265	265	2000
2012.12.26	265	265	265	265	6000
2012.12.29	264	264	264	264	715
2013.01.28	284	284	284	284	5000
2013.02.03	284	284	284	284	73500
2013.02.11	276	276	276	276	100
2013.02.12	273	273	273	273	200
2013.02.16	273	273	273	273	783
2013.03.02	273	273	273	273	6136
2013.03.03	272	272	272	272	1000
2013.03.04	272	272	272	272	1944
2013.03.12	272	272	272	272	120
2013.03.13	272	272	272	272	35588
2013.03.18	270	270	270	270	125
