 ,open,high,low,adjclose,volume,ticker
2012-02-08,167,167,167,167,251612500,zob
2012-02-12,175,175,169,175,75848282,zob
2012-02-13,176,179,167,168,23435322,zob
2012-02-14,169,169,166,168,12352753,zob
2012-02-15,168,169,164,165,9402675,zob
2012-02-18,166,169,165,166,10763775,zob
2012-02-19,166,168,162,164,8287222,zob
2012-02-20,160,162,158,159,7255902,zob
2012-03-18,186,198,179,186,50569565,zob
2012-03-24,199,199,199,199,780221,zob
2012-03-25,208,208,208,208,1107443,zob
2012-03-26,215,218,202,218,35810039,zob
2012-03-27,224,225,223,225,6474176,zob
2012-03-28,236,236,236,236,468277,zob
2012-04-02,243,246,233,237,44896673,zob
2012-04-03,233,234,229,229,12919026,zob
2012-04-04,224,231,224,228,12630819,zob
2012-04-07,227,239,227,237,11614226,zob
2012-04-08,243,248,237,241,22050791,zob
2012-04-09,247,251,243,244,6497534,zob
2012-04-10,252,258,252,256,15758626,zob
2012-04-11,256,268,255,268,11247915,zob
2012-04-14,275,277,270,277,42588864,zob
2012-04-15,291,291,288,291,54534304,zob
2012-04-16,292,294,276,278,25315913,zob
2012-04-17,282,285,269,280,12988892,zob
2012-04-18,281,291,281,291,26599215,zob
2012-04-21,294,298,279,282,6825525,zob
2012-04-22,279,282,275,277,4886382,zob
2012-04-23,276,276,264,267,14799724,zob
2012-04-24,259,276,256,267,6179016,zob
2012-04-28,268,268,255,255,12686141,zob
2012-04-29,250,255,244,244,6441177,zob
2012-04-30,243,250,241,247,8112389,zob
2012-05-01,248,251,241,242,4328093,zob
2012-05-02,241,243,237,241,2869438,zob
2012-05-05,242,243,233,234,3383765,zob
2012-05-06,236,247,236,244,3594916,zob
2012-05-07,243,246,238,241,2785501,zob
2012-05-08,243,243,238,238,1648458,zob
2012-05-09,237,242,233,238,4350120,zob
2012-05-12,238,238,224,224,8680780,zob
2012-05-13,223,233,217,231,3181276,zob
2012-05-14,230,239,230,239,6715011,zob
2012-05-15,247,247,238,238,4007663,zob
2012-05-16,242,242,234,235,1971969,zob
2012-05-19,237,237,229,234,1047287,zob
2012-05-20,235,243,233,239,2077283,zob
2012-05-26,217,226,211,223,8305595,zob
2012-05-27,224,228,221,227,2051791,zob
2012-05-28,227,229,220,222,1360503,zob
