Date,Open,High,Low,Close,Volume,Adjclose
2012-02-08,167,167,167,167,251612500,166.9666
2012-02-12,175,175,169,175,75848282,174.965
2012-02-13,176,179,167,168,23435322,167.9664
2012-02-14,169,169,166,168,12352753,167.9664
2012-02-15,168,169,164,165,9402675,164.967
2012-02-18,166,169,165,166,10763775,165.9668
2012-02-19,166,168,162,164,8287222,163.9672
2012-02-20,160,162,158,159,7255902,158.9682
2012-03-18,186,198,179,186,50569565,185.9628
2012-03-24,199,199,199,199,780221,198.9602
2012-03-25,208,208,208,208,1107443,207.9584
2012-03-26,215,218,202,218,35810039,217.9564
2012-03-27,224,225,223,225,6474176,224.955
2012-03-28,236,236,236,236,468277,235.9528
2012-04-02,243,246,233,237,44896673,236.9526
2012-04-03,233,234,229,229,12919026,228.9542
2012-04-04,224,231,224,228,12630819,227.9544
2012-04-07,227,239,227,237,11614226,236.9526
2012-04-08,243,248,237,241,22050791,240.9518
2012-04-09,247,251,243,244,6497534,243.9512
2012-04-10,252,258,252,256,15758626,255.9488
2012-04-11,256,268,255,268,11247915,267.9464
2012-04-14,275,277,270,277,42588864,276.9446
2012-04-15,291,291,288,291,54534304,290.9418
2012-04-16,292,294,276,278,25315913,277.9444
2012-04-17,282,285,269,280,12988892,279.944
2012-04-18,281,291,281,291,26599215,290.9418
2012-04-21,294,298,279,282,6825525,281.9436
2012-04-22,279,282,275,277,4886382,276.9446
2012-04-23,276,276,264,267,14799724,266.9466
2012-04-24,259,276,256,267,6179016,266.9466
2012-04-28,268,268,255,255,12686141,254.949
2012-04-29,250,255,244,244,6441177,243.9512
2012-04-30,243,250,241,247,8112389,246.9506
2012-05-01,248,251,241,242,4328093,241.9516
2012-05-02,241,243,237,241,2869438,240.9518
2012-05-05,242,243,233,234,3383765,233.9532
2012-05-06,236,247,236,244,3594916,243.9512
2012-05-07,243,246,238,241,2785501,240.9518
2012-05-08,243,243,238,238,1648458,237.9524
2012-05-09,237,242,233,238,4350120,237.9524
2012-05-12,238,238,224,224,8680780,223.9552
2012-05-13,223,233,217,231,3181276,230.9538
2012-05-14,230,239,230,239,6715011,238.9522
2012-05-15,247,247,238,238,4007663,237.9524
2012-05-16,242,242,234,235,1971969,234.953
2012-05-19,237,237,229,234,1047287,233.9532
2012-05-20,235,243,233,239,2077283,238.9522
2012-05-26,217,226,211,223,8305595,222.9554
2012-05-27,224,228,221,227,2051791,226.9546
2012-05-28,227,229,220,222,1360503,221.9556
2012-05-29,222,224,220,221,1528862,220.9558
2012-05-30,221,230,219,228,2624847,227.9544
2012-06-02,229,236,225,226,13753380,225.9548
2012-06-05,223,223,223,223,142509,222.9554
2012-06-06,212,216,212,212,10723379,211.9576
2012-06-09,210,210,202,202,4440448,201.9596
2012-06-10,197,202,193,200,5094242,199.96
2012-06-11,204,207,199,202,11908534,201.9596
2012-06-12,204,204,195,196,3148642,195.9608
2012-06-13,197,201,193,197,2422747,196.9606
2012-06-16,198,200,193,194,2230973,193.9612
2012-06-17,193,199,190,197,2870569,196.9606
2012-06-19,199,199,192,197,806484,196.9606
2012-06-20,199,199,191,191,1370701,190.9618
2012-06-23,192,192,184,184,6791255,183.9632
2012-06-24,179,189,179,180,3251883,179.964
2012-06-25,179,182,178,178,1850061,177.9644
2012-06-26,179,179,170,170,1962588,169.966
2012-06-27,165,170,164,169,7333720,168.9662
2012-06-30,174,174,174,174,1112768,173.9652
2012-07-01,182,182,176,182,2970200,181.9636
2012-07-02,190,190,190,190,124304,189.962
2012-07-03,200,200,192,197,9127701,196.9606
2012-07-04,194,200,189,196,3165647,195.9608
2012-07-07,194,196,188,188,1985973,187.9624
2012-07-08,187,192,182,182,2816471,181.9636
2012-07-09,178,179,175,179,5529253,178.9642
2012-07-10,179,185,179,185,8594351,184.963
2012-07-11,187,194,187,191,4854986,190.9618
2012-07-14,194,197,183,185,2908114,184.963
2012-07-15,187,189,179,179,7468150,178.9642
2012-07-16,179,182,173,173,6240185,172.9654
2012-07-28,179,179,164,165,6183980,164.967
2012-07-29,165,169,160,162,1963529,161.9676
2012-07-30,166,170,162,170,6205164,169.966
2012-07-31,177,177,177,177,2058534,176.9646
2012-08-01,186,186,175,175,8136518,174.965
2012-08-04,174,174,173,173,1295629,172.9654
2012-08-05,166,178,165,177,3832494,176.9646
2012-08-06,177,180,175,176,7644589,175.9648
2012-08-07,179,179,170,170,3715237,169.966
2012-08-08,174,180,168,180,4772322,179.964
2012-08-11,182,187,180,187,7370675,186.9626
2012-08-12,188,190,176,182,6555737,181.9636
2012-08-13,179,190,176,189,6157691,188.9622
2012-08-14,190,197,190,197,8750879,196.9606
2012-08-15,207,207,207,207,491331,206.9586
2012-08-18,211,215,204,208,14120212,207.9584
