 ,open,high,low,adjclose,volume,ticker
2008-04-02,101,101,101,101,145,دزهراوی
2008-04-05,102,102,101,101,1575,دزهراوی
2008-04-06,102,102,101,101,85,دزهراوی
2008-04-07,101,101,101,101,248,دزهراوی
2008-04-08,101,101,101,101,107,دزهراوی
2008-04-09,101,101,99,100,9688,دزهراوی
2008-04-12,99,100,99,100,4110,دزهراوی
2008-04-13,100,100,100,100,887,دزهراوی
2008-04-14,99,100,99,100,123,دزهراوی
2008-04-15,99,100,99,100,1185,دزهراوی
2008-04-16,98,100,98,100,4410,دزهراوی
2008-04-19,99,100,99,100,50,دزهراوی
2008-04-20,99,100,99,100,1525,دزهراوی
2008-04-21,99,100,99,100,2760,دزهراوی
2008-04-22,99,99,99,99,2817,دزهراوی
2008-04-23,99,99,99,99,107000,دزهراوی
2008-04-27,98,99,98,99,2010,دزهراوی
2008-04-30,99,99,99,99,3710,دزهراوی
2008-05-03,99,100,99,99,1348,دزهراوی
2008-05-04,99,99,99,99,12408,دزهراوی
2008-05-05,99,99,99,99,11272,دزهراوی
2008-05-06,100,101,100,100,3186,دزهراوی
2008-05-07,100,100,100,100,6510,دزهراوی
2008-05-10,100,100,100,100,5010,دزهراوی
2008-05-11,100,100,100,100,37010,دزهراوی
2008-05-12,100,100,100,100,510,دزهراوی
2008-05-13,100,100,100,100,5117,دزهراوی
2008-05-14,100,100,98,99,15026,دزهراوی
2008-05-18,98,99,98,99,2510,دزهراوی
2008-05-20,98,98,96,98,14912,دزهراوی
2008-05-26,98,98,98,98,14035,دزهراوی
2008-05-27,98,98,98,98,1500,دزهراوی
2008-05-28,98,98,98,98,115745,دزهراوی
2008-05-31,98,98,98,98,99299,دزهراوی
2008-06-10,91,98,91,96,6007,دزهراوی
2008-06-15,96,96,96,96,4842,دزهراوی
2008-06-16,99,99,97,97,1317,دزهراوی
2008-06-18,97,97,94,96,4510,دزهراوی
2008-06-21,96,96,96,96,300,دزهراوی
2008-06-22,96,96,96,96,8526,دزهراوی
2008-06-29,96,96,96,96,247,دزهراوی
2008-06-30,97,97,96,96,510,دزهراوی
2008-07-02,96,96,96,96,30000,دزهراوی
2008-07-05,93,96,93,96,5140,دزهراوی
2008-07-06,96,96,96,96,20,دزهراوی
2008-07-08,96,96,96,96,1473,دزهراوی
2008-07-09,93,96,93,96,5010,دزهراوی
2008-07-13,93,96,93,96,1608,دزهراوی
2008-07-14,93,95,93,95,5010,دزهراوی
2008-07-15,92,94,92,94,14982,دزهراوی
2008-07-21,94,94,94,94,430,دزهراوی
2008-07-28,94,94,94,94,740,دزهراوی
2008-07-29,97,97,94,94,39,دزهراوی
2008-08-02,94,94,94,94,100,دزهراوی
2008-08-03,94,95,94,94,260,دزهراوی
2008-08-04,94,94,94,94,1995,دزهراوی
2008-08-06,94,94,94,94,1909,دزهراوی
2008-08-09,97,97,94,94,457,دزهراوی
2008-08-10,94,94,94,94,551,دزهراوی
2008-09-07,94,94,91,94,2450,دزهراوی
2008-09-13,91,94,91,94,510,دزهراوی
2008-09-16,91,93,91,93,6651,دزهراوی
2008-09-17,94,94,93,93,55,دزهراوی
2008-09-27,90,93,90,93,320,دزهراوی
2008-09-28,90,92,90,92,7682,دزهراوی
2008-10-04,90,92,90,92,1199,دزهراوی
2008-10-05,90,92,90,92,2937,دزهراوی
2008-10-06,90,92,90,92,1464,دزهراوی
2008-10-07,89,92,89,92,718,دزهراوی
2008-10-08,92,92,89,92,1500,دزهراوی
2008-10-13,89,91,89,91,9902,دزهراوی
2008-10-14,88,91,88,91,5010,دزهراوی
2008-10-15,88,90,88,90,12049,دزهراوی
2008-10-27,90,90,90,90,1106833,دزهراوی
2008-10-28,88,90,88,90,84,دزهراوی
2008-11-02,90,90,90,90,1970,دزهراوی
2008-11-03,90,90,90,90,310,دزهراوی
2008-11-04,90,90,87,90,3230,دزهراوی
2008-11-05,92,92,87,90,1835,دزهراوی
2008-11-09,87,89,87,89,4004,دزهراوی
2008-11-10,87,89,87,89,6010,دزهراوی
2008-11-17,89,89,89,89,2444,دزهراوی
2008-11-23,89,89,86,89,959,دزهراوی
2008-11-30,89,89,86,88,3021,دزهراوی
2008-12-21,86,86,86,86,1050,دزهراوی
2008-12-22,86,86,86,86,115,دزهراوی
2009-01-12,86,86,86,86,10606,دزهراوی
2009-01-17,85,90,85,90,26752,دزهراوی
2009-01-18,85,85,85,85,125,دزهراوی
2009-01-19,85,85,85,85,2090,دزهراوی
2009-01-21,85,85,85,85,1436,دزهراوی
2009-01-27,84,84,84,84,3147,دزهراوی
2009-02-03,87,87,87,87,3000,دزهراوی
2009-02-07,87,87,87,87,400,دزهراوی
2009-02-21,89,89,89,89,14912,دزهراوی
2009-02-22,92,92,92,92,1700,دزهراوی
2009-02-23,90,90,90,90,5324,دزهراوی
2009-02-25,91,91,91,91,2000,دزهراوی
2009-02-28,92,92,92,92,589,دزهراوی
2009-03-02,92,92,92,92,2000,دزهراوی
2009-03-04,93,93,93,93,1000,دزهراوی
2009-03-18,87,87,87,87,2740,دزهراوی
2009-04-14,90,90,90,90,50,دزهراوی
2009-04-15,92,92,92,92,50,دزهراوی
2009-04-18,95,95,95,95,50,دزهراوی
2009-04-19,98,98,98,98,50,دزهراوی
2009-04-20,101,101,101,101,3006,دزهراوی
2009-04-21,104,104,104,104,1950,دزهراوی
2009-04-22,104,104,104,104,700,دزهراوی
2009-04-25,104,104,104,104,12730,دزهراوی
2009-04-26,105,105,105,105,5000,دزهراوی
2009-04-27,106,106,106,106,11000,دزهراوی
2009-04-28,107,107,107,107,4094,دزهراوی
2009-04-29,107,107,107,107,22257,دزهراوی
2009-05-02,110,110,110,110,376,دزهراوی
2009-05-03,110,110,110,110,8731,دزهراوی
2009-05-10,111,111,111,111,1173,دزهراوی
2009-05-11,111,111,111,111,5000,دزهراوی
2009-05-12,111,111,111,111,6500,دزهراوی
2009-05-17,112,112,112,112,6500,دزهراوی
2009-05-18,113,113,113,113,5000,دزهراوی
2009-05-19,113,113,113,113,29775,دزهراوی
2009-05-20,113,113,113,113,2500,دزهراوی
2009-05-23,113,113,113,113,2402,دزهراوی
2009-05-24,113,113,109,113,13164,دزهراوی
2009-05-25,112,112,112,112,1020,دزهراوی
2009-05-26,116,116,116,116,5229,دزهراوی
2009-05-27,116,116,116,116,962,دزهراوی
2009-06-06,139,139,139,139,1050,دزهراوی
2009-06-09,139,139,139,139,300,دزهراوی
2009-06-10,139,139,139,139,382,دزهراوی
2009-06-13,136,136,136,136,964,دزهراوی
2009-06-17,138,138,138,138,115,دزهراوی
2009-06-23,138,138,138,138,200,دزهراوی
2009-06-27,139,139,139,139,190,دزهراوی
2009-06-29,138,138,138,138,16500,دزهراوی
2009-06-30,134,134,134,134,2363,دزهراوی
2009-07-01,134,134,134,134,403,دزهراوی
2009-07-04,134,134,134,134,5097,دزهراوی
2009-07-05,133,133,133,133,25979,دزهراوی
2009-07-07,134,134,134,134,897,دزهراوی
2009-07-11,138,138,135,138,4000,دزهراوی
2009-07-12,138,138,138,138,28864,دزهراوی
2009-07-13,138,142,138,142,6625,دزهراوی
2009-07-14,140,142,140,142,8500,دزهراوی
2009-07-15,141,142,141,142,6800,دزهراوی
2009-07-18,143,144,143,144,137549,دزهراوی
2009-07-21,144,144,144,144,340,دزهراوی
2009-07-22,144,144,144,144,2000,دزهراوی
2009-07-25,145,145,145,145,2560,دزهراوی
2009-07-27,146,146,145,145,5485,دزهراوی
2009-07-28,148,148,148,148,100,دزهراوی
2009-08-02,141,141,140,140,2000,دزهراوی
2009-08-03,143,143,143,143,2000,دزهراوی
2009-08-04,140,140,140,140,4157,دزهراوی
2009-08-05,142,146,142,146,6383,دزهراوی
2009-08-08,144,146,144,146,1300,دزهراوی
2009-08-09,144,144,144,144,1000,دزهراوی
2009-08-10,142,142,142,142,150,دزهراوی
2009-08-12,144,144,144,144,100,دزهراوی
2009-08-15,142,142,142,142,1800,دزهراوی
2009-08-17,142,142,139,139,5000,دزهراوی
2009-08-24,144,144,144,144,3000,دزهراوی
2009-08-25,144,145,144,145,229710,دزهراوی
2009-08-26,144,144,144,144,641,دزهراوی
2009-09-01,144,144,140,140,1000,دزهراوی
2009-09-02,143,143,140,140,300,دزهراوی
2009-09-05,141,141,141,141,5012,دزهراوی
2009-09-06,144,144,144,144,515,دزهراوی
2009-09-07,144,144,144,144,4359,دزهراوی
2009-09-08,144,148,144,148,113100,دزهراوی
2009-09-09,149,149,144,144,1054,دزهراوی
2009-09-14,149,149,146,146,3920,دزهراوی
2009-09-16,149,149,149,149,11539,دزهراوی
2009-09-21,146,146,146,146,17000,دزهراوی
2009-09-22,147,147,147,147,10158,دزهراوی
2009-09-23,146,146,146,146,7165,دزهراوی
2009-09-26,146,146,146,146,10424,دزهراوی
2009-09-27,150,150,146,146,2860,دزهراوی
